TIPO,CLAVE,DESCRIPCIÓN,UNIDAD,CANTIDAD,PRECIO UNITARIO,IMPORTE
Título,T01,MANO DE OBRA,EQUIPO,,,
Concepto,C01,RETIRO DE TUBERÍA EXISTENTE,SERVICIO,1,500.00,500.00
Concepto,C02,INSTALACIÓN DE NIPLE Y TEE,SERVICIO,1,300.00,300.00
Concepto,C03,INSTALACIÓN DE VÁLVULA DE ACERO INOXIDABLE,SERVICIO,1,4150.00,4150.00
Título,T02,MATERIALES,EQUIPO,,,
Concepto,C04,NIPLE DE 1/2",PIEZA,2,150.00,300.00
Concepto,C05,TEE DE 1/2",PIEZA,1,200.00,200.00
Concepto,C06,VÁLVULA DE ACERO INOXIDABLE,PIEZA,1,3500.00,3500.00
Título,T03,HERRAMIENTA Y EQUIPO,EQUIPO,,,
Concepto,C07,RENTA DE EQUIPO ESPECIALIZADO,SERVICIO,1,800.00,800.00
Concepto,C08,MATERIALES CONSUMIBLES,SERVICIO,1,200.00,200.00
