DATO,VALOR,EJEMPLO
FOLIO,AUTOMATICO,(se genera solo)
FECHA,15/10/2025,formato dd/mm/yyyy
DESCRIPCION,INSTALACION DE VALVULA EN TUBERIA EN CISTERNA,título del proyecto
NOMBRE_CLIENTE,COMPRAS ARCA CONTAL,razón social
EMAIL_CLIENTE,compras@arca.com,email@ejemplo.com
TELEFONO_CLIENTE,(667)123-4567,(667)123-4567
DIRECCION_CLIENTE,Tulipán #22, Col. 10 de Mayo,dirección completa
NOMBRE_DESTINATARIO,DEPARTAMENTO DE COMPRAS,persona o departamento
EMAIL_DESTINATARIO,compras@arca.com,email@ejemplo.com
TELEFONO_DESTINATARIO,(667)123-4567,(667)123-4567
CARGO_DESTINATARIO,JEFE DE COMPRAS,puesto del destinatario
